name;use;origin;substitutes;aromas;alt_names;alt_names_extra
Mandarina Bavaria;aroma;GER;Cascade, Hüll Melon;Citrus, Herbal, Lemon, Resin, Tangerine, Tropical Fruits;;Bavarian Mandarina, Bavaria Mandarina, Mandarin Bavaria, Mandrina Bavaria, Mandarina Barvaria, Mandarina, Manderina Bavaria
Mapuche;aroma;ARG;;Blueberry, Fruity, Peach, Apricot;;
Marco Polo;dual-purpose;CHN;Columbus;Elderflower, Gooseberry, Oregano;;
Marynka;dual-purpose;POL;Tettnanger;Anise, Aniseed, Citrus, Earthy, Grapefruit, Hay, Herbal, Lemon, Licorice, Chocolate, Tobacco;;
Mathon;aroma;GBR;;;;
McKenzie;aroma;USA;;Fruity, Grapefruit, Lemon, Nectarine, Melon, Pine, Resin, Woody, Thyme;;
Medusa;aroma;USA;Zappa, Brewer's Gold, Meridian, Riwaka, Cluster;Alfalfa, Apricot, Citrus, Guava, Lemon, Lime, Melon, Peach, Intense, Fruity, Rustic;Multihead;
Melba;dual-purpose;AUS;Galaxy;Clean, Spicy, Passion Fruit, Grapefruit, Citrus, Stone Fruit;;
Meridian;aroma;USA;Citra, Glacier, Centennial;Tropical fruits, Berries, Citrus, Spearmint, Lemon, Sweet, Pineapple;;
Merkur;dual-purpose;GER;Magnum, Hallertauer Taurus, Hallertauer Tradition;Citrus, Herbal, Sweet, Aromatic, Tropical Fruits, Sweet, Pineapple, Mint, Earthy, Floral, Woody;Hallertauer Merkur;
Michigan Copper;aroma;USA;;Tropical Fruits, Citrus, Melon, Papaya, Floral, Pepper, Peach, Apricot, Lemongrass;;MI Copper, Copper
Millennium;bittering;USA;Nugget, Columbus;Resin, Floral, Toffee, Pear, Creamy, Caramel, Yogurt, Woody, Tobacco, Sage, Curry;;Millenium
Mimosa;aroma;CZH;;;;
Minstrel;aroma;GBR;;;;
Mistral;dual-purpose;FRA;;;;
Monroe;aroma;GER;;Cherry, Mild, Orange, Passion Fruit, Plum, Raspberry, Smooth, Strawberry;;
Mosaic;dual-purpose;USA;Citra, Simcoe;Blueberry, Bubblegum, Citrus, Earthy, Floral, Grapefruit, Grassy, Papaya, Pine, Rose, Spicy, Tangerine, Tropical Fruits;HBC 369;Moesaic, Mosacic, Mosai, Mossic, Mozaic, Mscc, Mosiac, Mosiac, Moasic, Mosa, Mosiaic
Motueka;aroma;NZL;Saaz, Sterling;Citrus, Floral, Lemon, Lime, Mojito, Tropical Fruits;;Mouteka
Mount Hood;aroma;USA;Crystal, Hallertauer Mittelfrüh, Hersbrucker, Liberty;Herbal, Noble, Spicy, Floral, Pungent;;MT Hood
Mount Rainier;aroma;USA;Fuggle, Hallertauer Mittelfrüh;Citrus, Floral, Licorice, Noble, Spicy, Noble, Grassy, Cedar, Lemon, Tea, Earthy;;MT Rainier, Mount Ranier
Moutere;dual-purpose;NZL;;Earthy, Grapefruit, Hay, Passion Fruit, Pine, Tropical Fruits;Brooklyn, HORT 0605;Mortere
Mystic;aroma;GBR;;;;Mystique
Nadwislanska;aroma;POL;;;;
Nectaron;dual-purpose;NZL;Citra, Mosaic, Waimea;Citrus, Grapefruit, Passion Fruit, Peach, Pineapple, Tropical Fruits;HORT 4337;Nectron, Trial Hop 4337, 4337
Nelson Sauvin;dual-purpose;NZL;Enigma, Hallertauer Blanc, Motueka, Riwaka;Fruity, Gooseberry, Grape, White Wine, Passion Fruit;;Nelson, Nels, Nel, Neslson Sauvin
Neo1;dual-purpose;USA;;;;Neo 1
Neoplanta;dual-purpose;SLO;;;;
Newport;bittering;USA;Brewer's Gold, Fuggle, Galena, Magnum, Nugget;Balsamic, Citrus, Earthy, White Wine, Earthy, Resinous, Pungent, Clean, Pine, Evergreen;;
Nobility;dual-purpose;USA;;Lemon, Orange, Lemongrass, Green Tea, Floral, Spicy;;
Nordgaard;aroma;BEL,DNK;;;;
Northdown;dual-purpose;USA;Northern Brewer;Fresh, Floral, Pine, Berry, Spicy, Cedar;;
Northern Brewer;dual-purpose;GER,USA;Brewer's Gold, Chinook, Galena, Magnum, Northern Brewer, Perle;Mint, Resin, Pine, Woody, Pepper, Menthol;;Norther, Norther Brewer, Norther Browser, Northerm Brewer, Northern, Nother Brewer
Nugget;dual-purpose;USA;Chinook, Columbus, Galena, Magnum;Citrus, Earthy, Geranium, Ginger, Herbal, Lychee, Pineapple;;Nugeet, nuggets
NZH-107;dual-purpose;NZL;;Tropical Fruits, Guava, Passion Fruit, Citrus, Grapefruit, Lime;;NHZ-107
Oktawia;bittering;POL;;;;
Olicana;dual-purpose;GBR;;Tropical Fruits, Mango, Grapefruit, Passion Fruit, Citrus, Zesty, Fruity, Aromatic, Floral;;
Olympic;aroma;USA;Brewer's Gold, Chinook, Galena;Citrus, Spicy;;
Omega;aroma;GBR;;;;
Opal;dual-purpose;GER;East Kent Golding, Styrian Golding, Tettnanger ;Spicy, Pepper, Citrus, Fruity, Floral, Herbal, Liquorice, Aniseed, Apricot, Jasmine ;;
Opus;aroma;GBR;;;CF182;
